,Id,Filename,Description,Width,Height,Mean color,Median brightness,Horizontal idx,Vertical idx
0,1487364161,stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr,1500,1101,"[156.18, 164.25, 158.74]",194.0,1031,81
1,1380294050,stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion,1500,945,"[105.75, 96.6, 89.41]",77.0,104,693
2,1452180959,stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people,1500,1101,"[161.05, 170.04, 188.64]",190.0,728,440
3,1498583432,stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and,1500,940,"[150.33, 159.33, 172.65]",184.0,57,834
4,1508523470,stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1500,1101,"[35.41, 72.42, 56.33]",52.0,314,977
5,1497972686,stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice,1500,1101,"[208.36, 156.81, 33.12]",176.0,1031,81
6,1438256546,stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset,1500,1024,"[173.92, 153.87, 121.89]",161.0,255,411
7,1492317566,stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1500,1101,"[82.22, 89.28, 102.36]",61.0,242,281
8,1471402472,stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,1500,915,"[217.76, 170.25, 172.83]",255.0,0,0
9,1506854450,stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros,1500,1101,"[90.37, 102.58, 109.12]",77.0,1031,81
10,1436812790,stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1500,1101,"[65.13, 68.12, 116.96]",46.0,1031,81
11,1505793707,stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,1500,760,"[191.07, 137.75, 156.71]",164.0,690,80
12,1495866737,stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background,1500,790,"[79.13, 97.81, 104.23]",86.0,516,83
13,1484678003,stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition,1500,1080,"[127.07, 165.44, 187.59]",161.0,1010,80
14,1499306735,stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,1500,724,"[52.55, 63.78, 83.82]",48.0,353,18
15,1482160559,stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1500,1101,"[207.5, 200.05, 189.81]",236.0,0,4
16,1427337869,stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,1500,945,"[32.21, 44.92, 53.39]",35.0,875,80
17,1454730908,stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1500,1101,"[60.35, 61.54, 61.12]",46.0,39,272
18,1499295359,stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1500,1101,"[184.21, 165.13, 150.26]",186.0,3,44
19,1492357433,stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1500,1101,"[47.47, 64.83, 81.43]",46.0,140,248
