,average_color,brightness_median,description,height,image_id,min_h,min_w,name,width
0,"(158.74056191341205, 164.24507296397215, 156.17867938237964)",194.0,adult and child hands holding red heart heart health donation happy volunteer charity csr,1101,1487364161,1031,81,stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,1500
1,"(89.41376084656085, 96.59588924162257, 105.74683245149912)",77.0,architect team having a discussion,945,1380294050,104,693,stock-photo-architect-team-having-a-discussion-1380294050.jpg,1500
2,"(188.63827974568574, 170.044600060551, 161.04649167423554)",190.0,close up of two businessmen shaking hands in modern city with double exposure of business people,1101,1452180959,728,440,stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,1500
3,"(172.6464964539007, 159.3283574468085, 150.33435106382979)",184.0,close up top view of young business people putting their hands together stack of hands unity and,940,1498583432,57,834,stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,1500
4,"(56.331945504087194, 72.42483015440509, 35.41184741144414)",52.0,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1101,1508523470,314,977,stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,1500
5,"(33.11795458673933, 156.80598910081744, 208.3631207992734)",176.0,happy dussehra greeting card green leaf rice,1101,1497972686,1031,81,stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,1500
6,"(121.89294791666667, 153.86528190104167, 173.92403125)",161.0,happy family mother father children son and daughter on nature on sunset,1024,1438256546,255,411,stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,1500
7,"(102.3557838328792, 89.27925340599455, 82.22452861035423)",61.0,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1101,1492317566,242,281,stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,1500
8,"(172.82903023679418, 170.2532204007286, 217.7615548269581)",255.0,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,915,1471402472,0,0,stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,1500
9,"(109.11656433545262, 102.58370330003028, 90.36532303966091)",77.0,nature shots for the pros,1101,1506854450,1031,81,stock-photo-nature-shots-for-the-pros-1506854450.jpg,1500
10,"(116.95715531335149, 68.124923402967, 65.12978201634877)",46.0,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1101,1436812790,1031,81,stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,1500
11,"(156.71053596491228, 137.74961228070177, 191.0687140350877)",164.0,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,760,1505793707,690,80,stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,1500
12,"(104.23222278481013, 97.81092911392405, 79.13039831223628)",86.0,skeleton zombie hands rising out of a cemetery halloween background,790,1495866737,516,83,stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,1500
13,"(187.59124567901233, 165.44296543209876, 127.06730432098766)",161.0,sky background on sunset nature abstract composition,1080,1484678003,1010,80,stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,1500
14,"(83.82448250460405, 63.778288213627995, 52.552196132596684)",48.0,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,724,1499306735,353,18,stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,1500
15,"(189.81397214653344, 200.04516742355435, 207.4990281562216)",236.0,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1101,1482160559,0,4,stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,1500
16,"(53.38761481481482, 44.92429770723104, 32.21170088183422)",35.0,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,945,1427337869,875,80,stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,1500
17,"(61.12141992128368, 61.544439600363305, 60.34542113230397)",46.0,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1101,1454730908,39,272,stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,1500
18,"(150.2616136845292, 165.12994489857707, 184.20725582803513)",186.0,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1101,1499295359,3,44,stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,1500
19,"(81.42522858007871, 64.83295852255526, 47.471327883742056)",46.0,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1101,1492357433,140,248,stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,1500
