,Id zdjęcia,Nazwa pliku,Opis,Szerokość,Wysokość,Średni kolor,Mediana Jasności,Pozioma wspł.,Pionowa wspł.
0,1499306735,stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,1500,724,[52.55219613 63.77828821 83.8244825 ],48.0,18,353
1,1497972686,stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice,1500,1101,[208.3631208  156.8059891   33.11795459],175.0,81,1031
2,1505793707,stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,1500,760,[191.06871404 137.74961228 156.71053596],163.0,80,690
3,1499295359,stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1500,1101,[184.20725583 165.1299449  150.26161368],186.0,44,3
4,1452180959,stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people,1500,1101,[161.04649167 170.04460006 188.63827975],189.0,440,728
5,1484678003,stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition,1500,1080,[127.06730432 165.44296543 187.59124568],160.0,80,1010
6,1508523470,stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1500,1101,[35.41184741 72.42483015 56.3319455 ],51.0,977,314
7,1492317566,stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1500,1101,[ 82.22452861  89.27925341 102.35578383],60.0,281,242
8,1492357433,stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1500,1101,[47.47132788 64.83295852 81.42522858],46.0,248,140
9,1471402472,stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,1500,915,[217.76155483 170.2532204  172.82903024],255.0,0,0
10,1436812790,stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1500,1101,[ 65.12978202  68.1249234  116.95715531],46.0,81,1031
11,1482160559,stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1500,1101,[207.49902816 200.04516742 189.81397215],236.0,4,0
12,1498583432,stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and,1500,940,[150.33435106 159.32835745 172.64649645],183.0,839,68
13,1495866737,stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background,1500,790,[ 79.13039831  97.81092911 104.23222278],85.0,74,518
14,1454730908,stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1500,1101,[60.34542113 61.5444396  61.12141992],46.0,272,39
15,1438256546,stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset,1500,1024,[173.92403125 153.8652819  121.89294792],161.0,422,243
16,1427337869,stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,1500,945,[32.21170088 44.92429771 53.38761481],35.0,80,875
17,1487364161,stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr,1500,1101,[156.17867938 164.24507296 158.74056191],194.0,81,1031
18,1380294050,stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion,1500,945,[105.74683245  96.59588924  89.41376085],76.0,693,104
19,1506854450,stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros,1500,1101,[ 90.36532304 102.5837033  109.11656434],76.0,81,1031
